Date,Open,High,Low,Close,Volume,Adj Close
2015-08-25,14.975,15.70,14.75,15.75,1373200,15.75
2015-08-24,15.445,15.445,14.527,14.625,1576600,14.625
2015-08-21,15.50,16.00,14.93,15.75,2450300,15.75
2015-08-20,16.075,16.145,15.75,15.875,984000,15.875
2015-08-19,16.20,16.50,16.055,16.25,250500,16.25
2015-08-18,16.44,16.45,16.055,16.25,835700,16.25
2015-08-17,16.699,16.80,16.30,16.625,1437200,16.625
2015-08-14,16.62,17.38,16.592,16.75,940200,16.75
2015-08-13,17.55,17.55,16.55,16.875,1662400,16.875
2015-08-12,18.00,18.00,17.25,17.375,1633200,17.375
2015-08-11,17.075,18.145,16.75,17.875,1836300,17.875
2015-08-10,17.002,17.50,17.00,17.375,3303100,17.375
2015-08-07,16.675,17.25,16.308,16.875,2624200,16.875
2015-08-06,15.305,16.75,15.305,16.375,5434600,16.375
2015-08-05,14.67,15.11,14.515,14.75,971300,14.75
2015-08-04,15.10,15.50,14.85,14.75,443100,14.75
2015-08-03,14.655,15.50,14.50,15.00,1927900,15.00
2015-07-31,14.92,15.00,14.00,14.75,3341500,14.75
2015-07-30,14.895,15.05,14.55,15.00,1584700,15.00
2015-07-29,15.055,15.20,14.838,15.00,1069900,15.00
2015-07-28,15.20,15.20,14.34,15.00,3888900,15.00
2015-07-27,16.59,16.655,15.40,15.375,3098000,15.375
2015-07-24,16.825,16.90,16.30,16.625,916800,16.625
2015-07-23,17.05,17.00,16.84,16.875,519200,16.875
2015-07-22,16.895,17.50,16.885,17.125,1619700,17.125
2015-07-21,17.25,17.50,16.742,16.875,1408900,16.875
2015-07-20,18.02,18.20,16.50,16.875,2220800,16.875
2015-07-17,18.70,18.72,17.75,18.125,2544600,18.125
2015-07-16,18.70,19.663,18.50,18.25,2930300,18.25
2015-07-15,17.90,18.00,17.42,18.00,873400,18.00
2015-07-14,17.622,18.50,17.622,18.125,507100,18.125
2015-07-13,17.50,17.95,17.093,17.625,1937800,17.625
2015-07-10,17.50,17.75,17.25,17.375,1916600,17.375
2015-07-09,16.785,17.35,16.295,17.25,1437600,17.25
2015-07-08,17.035,17.50,16.375,16.625,1568200,16.625
2015-07-07,18.06,18.25,16.75,17.25,3155500,17.25
2015-07-06,18.575,18.755,17.75,18.25,3519800,18.25
2015-07-03,19.10,19.45,18.825,18.875,1879500,18.875
2015-07-02,19.222,19.725,19.075,19.25,1338500,19.25
2015-07-01,18.50,19.50,18.50,19.00,1285400,19.00
2015-06-30,18.30,19.00,18.163,18.75,1965100,18.75
2015-06-29,18.574,19.40,18.18,18.25,1502400,18.25
